Время    эдс
мс       мв
    
0.903320313  0.001285717
0.904846191  0.001283197
0.90637207  0.001280687
0.907897949  0.00127818
0.909423828  0.001275676
0.910949707  0.001273174
0.912475586  0.001270674
0.914001465  0.001268173
0.915527344  0.001265672
0.917053223  0.001263174
0.918579102  0.001260683
0.92010498  0.001258201
0.921630859  0.001255727
0.923156738  0.00125326
0.924682617  0.001250801
0.926208496  0.001248352
0.927734375  0.001245912
0.929260254  0.001243477
0.930786133  0.001241042
0.932312012  0.001238609
0.933837891  0.001236182
0.93536377  0.001233763
0.936889648  0.001231354
0.938415527  0.001228953
0.939941406  0.001226558
0.941467285  0.001224172
0.942993164  0.001221794
0.944519043  0.001219423
0.946044922  0.001217059
0.947570801  0.001214699
0.94909668  0.001212347
0.950622559  0.001209999
0.952148438  0.001207657
0.953674316  0.001205321
0.955200195  0.001202993
0.956726074  0.001200667
0.958251953  0.001198338
0.959777832  0.001196003
0.961303711  0.001193666
0.96282959  0.001191336
0.964355469  0.001189012
0.965881348  0.001186693
0.967407227  0.001184374
0.968933105  0.001182058
0.970458984  0.001179751
0.971984863  0.001177457
0.973510742  0.001175177
0.975036621  0.001172904
0.9765625  0.001170636
0.978088379  0.001168374
0.979614258  0.001166119
0.981140137  0.001163876
0.982666016  0.001161641
0.984191895  0.001159408
0.985717773  0.001157169
0.987243652  0.001154926
0.988769531  0.001152682
0.99029541  0.001150447
0.991821289  0.001148221
0.993347168  0.001146006
0.994873047  0.001143799
0.996398926  0.001141599
0.997924805  0.001139409
0.999450684  0.001137228
1.000976563  0.001135055
1.002502441  0.001132884
1.00402832  0.001130716
1.005554199  0.001128549
1.007080078  0.001126389
1.008605957  0.00112424
1.010131836  0.001122102
1.011657715  0.001119971
1.013183594  0.001117842
1.014709473  0.001115712
1.016235352  0.001113581
1.01776123  0.001111454
1.019287109  0.001109335
1.020812988  0.00110722
1.022338867  0.001105108
1.023864746  0.001102992
1.025390625  0.001100877
1.026916504  0.001098766
1.028442383  0.001096666
1.029968262  0.001094574
1.031494141  0.001092484
1.03302002  0.001090394
1.034545898  0.0010883
1.036071777  0.001086206
1.037597656  0.001084116
1.039123535  0.001082035
1.040649414  0.001079966
1.042175293  0.001077911
1.043701172  0.001075868
1.045227051  0.001073832
1.04675293  0.001071803
1.048278809  0.001069779
1.049804688  0.001067758
1.051330566  0.001065736
1.052856445  0.001063715
1.054382324  0.0010617
1.055908203  0.001059693
1.057434082  0.001057691
1.058959961  0.00105569
1.06048584  0.001053686
1.062011719  0.00105168
1.063537598  0.001049677
1.065063477  0.001047682
1.066589355  0.001045695
1.068115234  0.001043716
1.069641113  0.001041741
1.071166992  0.001039769
1.072692871  0.001037804
1.07421875  0.001035849
1.075744629  0.001033905
1.077270508  0.001031965
1.078796387  0.001030024
1.080322266  0.001028076
1.081848145  0.001026123
1.083374023  0.001024171
1.084899902  0.001022227
1.086425781  0.001020295
1.08795166  0.001018373
1.089477539  0.001016458
1.091003418  0.001014547
1.092529297  0.001012635
1.094055176  0.00101072
1.095581055  0.001008801
1.097106934  0.001006883
1.098632813  0.00100497
1.100158691  0.001003067
1.10168457  0.001001173
1.103210449  0.000999284
1.104736328  0.000997397
1.106262207  0.000995509
1.107788086  0.000993623
1.109313965  0.000991742
1.110839844  0.000989866
1.112365723  0.000987997
1.113891602  0.000986133
1.11541748  0.000984272
1.116943359  0.000982415
1.118469238  0.000980563
1.119995117  0.000978717
1.121520996  0.000976881
1.123046875  0.000975054
1.124572754  0.000973234
1.126098633  0.000971416
1.127624512  0.0009696
1.129150391  0.000967788
1.13067627  0.00096598
1.132202148  0.000964176
1.133728027  0.000962374
1.135253906  0.000960576
1.136779785  0.000958783
1.138305664  0.000956993
1.139831543  0.000955208
1.141357422  0.000953428
1.142883301  0.000951652
1.14440918  0.000949878
1.145935059  0.00094811
1.147460938  0.000946351
1.148986816  0.0009446
1.150512695  0.000942849
1.152038574  0.000941095
1.153564453  0.000939339
1.155090332  0.000937581
1.156616211  0.000935825
1.15814209  0.000934073
1.159667969  0.000932326
1.161193848  0.000930585
1.162719727  0.00092885
1.164245605  0.000927121
1.165771484  0.0009254
1.167297363  0.000923689
1.168823242  0.000921981
1.170349121  0.000920274
1.171875  0.000918568
1.173400879  0.000916869
1.174926758  0.00091518
1.176452637  0.000913502
1.177978516  0.000911832
1.179504395  0.000910163
1.181030273  0.00090849
1.182556152  0.00090681
1.184082031  0.000905127
1.18560791  0.000903445
1.187133789  0.000901767
1.188659668  0.000900093
1.190185547  0.000898422
1.191711426  0.000896756
1.193237305  0.000895097
1.194763184  0.00089344
1.196289063  0.000891786
1.197814941  0.000890131
1.19934082  0.000888474
1.200866699  0.000886814
1.202392578  0.000885152
1.203918457  0.000883486
1.205444336  0.00088182
1.206970215  0.000880157
1.208496094  0.000878505
1.210021973  0.000876869
1.211547852  0.000875245
1.21307373  0.000873631
1.214599609  0.000872019
1.216125488  0.000870405
1.217651367  0.00086879
1.219177246  0.000867178
1.220703125  0.000865571
1.222229004  0.000863972
1.223754883  0.000862378
1.225280762  0.00086079
1.226806641  0.000859205
1.22833252  0.00085762
1.229858398  0.000856037
1.231384277  0.000854457
1.232910156  0.000852883
1.234436035  0.000851315
1.235961914  0.000849752
1.237487793  0.000848192
1.239013672  0.000846637
1.240539551  0.000845088
1.24206543  0.000843548
1.243591309  0.000842015
1.245117188  0.00084049
1.246643066  0.000838971
1.248168945  0.000837451
1.249694824  0.000835923
1.251220703  0.000834386
1.252746582  0.000832846
1.254272461  0.000831307
1.25579834  0.000829769
1.257324219  0.000828229
1.258850098  0.000826683
1.260375977  0.000825133
1.261901855  0.000823583
1.263427734  0.000822035
1.264953613  0.000820491
1.266479492  0.000818956
1.268005371  0.00081743
1.26953125  0.000815913
1.271057129  0.000814405
1.272583008  0.000812902
1.274108887  0.000811404
1.275634766  0.000809912
1.277160645  0.000808427
1.278686523  0.000806946
1.280212402  0.000805461
1.281738281  0.000803971
1.28326416  0.000802475
1.284790039  0.000800981
1.286315918  0.000799493
1.287841797  0.000798012
1.289367676  0.000796539
1.290893555  0.000795071
1.292419434  0.000793605
1.293945313  0.00079214
1.295471191  0.000790681
1.29699707  0.000789234
1.298522949  0.000787801
1.300048828  0.00078638
1.301574707  0.000784963
1.303100586  0.000783545
1.304626465  0.000782126
1.306152344  0.000780708
1.307678223  0.000779291
1.309204102  0.000777875
1.31072998  0.000776461
1.312255859  0.000775047
1.313781738  0.000773633
1.315307617  0.00077222
1.316833496  0.000770808
1.318359375  0.0007694
1.319885254  0.000768001
1.321411133  0.000766614
1.322937012  0.000765241
1.324462891  0.000763879
1.32598877  0.000762517
1.327514648  0.00076115
1.329040527  0.000759775
1.330566406  0.000758396
1.332092285  0.000757019
1.333618164  0.000755644
1.335144043  0.000754272
1.336669922  0.000752899
1.338195801  0.000751524
1.33972168  0.000750148
1.341247559  0.000748774
1.342773438  0.000747406
1.344299316  0.000746044
1.345825195  0.000744689
1.347351074  0.000743339
1.348876953  0.000741996
1.350402832  0.000740658
1.351928711  0.000739325
1.35345459  0.000738
